facility,category,temperature,gas_ppm,noise_db,radiation,heart_rate,fatigue,hour
Catalytic Cracker,Petrochemical,92.0,280.0,72.8,0.206,122.0,44.2,11.48
Catalytic Cracker,Petrochemical,92.0,280.0,75.3,0.2022,121.9,44.5,11.55
Catalytic Cracker,Petrochemical,92.0,280.0,74.3,0.212,125.8,42.2,11.62
Catalytic Cracker,Petrochemical,92.0,280.0,72.9,0.2166,122.6,45.3,11.7
Catalytic Cracker,Petrochemical,92.0,280.0,75.0,0.2137,121.6,46.8,11.77
Catalytic Cracker,Petrochemical,92.0,280.0,73.6,0.2152,123.3,47.9,11.85
Catalytic Cracker,Petrochemical,92.0,280.0,71.4,0.2164,122.7,46.5,11.93
Hydrodesulfurization,Petrochemical,92.0,280.0,76.3,0.1678,117.0,7.6,0.0
Hydrodesulfurization,Petrochemical,92.0,280.0,75.7,0.1613,122.3,10.9,0.08
Hydrodesulfurization,Petrochemical,92.0,280.0,73.2,0.1691,119.6,10.7,0.15
Hydrodesulfurization,Petrochemical,92.0,280.0,72.9,0.154,117.9,12.4,0.22
Hydrodesulfurization,Petrochemical,92.0,280.0,72.7,0.1634,119.0,16.5,0.3
Hydrodesulfurization,Petrochemical,92.0,280.0,74.7,0.1668,120.2,14.4,0.38
Hydrodesulfurization,Petrochemical,92.0,280.0,71.8,0.1651,118.2,16.2,0.45
Hydrodesulfurization,Petrochemical,92.0,280.0,75.6,0.1593,120.1,17.3,0.52
Hydrodesulfurization,Petrochemical,92.0,280.0,76.3,0.166,121.2,14.2,0.6
Hydrodesulfurization,Petrochemical,92.0,280.0,75.5,0.1623,118.2,14.1,0.68
Hydrodesulfurization,Petrochemical,92.0,280.0,75.9,0.1692,119.0,16.1,0.75
Hydrodesulfurization,Petrochemical,92.0,280.0,75.6,0.1618,118.5,13.1,0.83
Hydrodesulfurization,Petrochemical,92.0,280.0,74.0,0.1689,118.5,17.1,0.9
Hydrodesulfurization,Petrochemical,92.0,280.0,77.5,0.1747,121.2,14.2,0.98
Hydrodesulfurization,Petrochemical,92.0,280.0,77.5,0.1681,120.3,15.2,1.05
Hydrodesulfurization,Petrochemical,92.0,280.0,75.3,0.1669,120.2,13.5,1.12
Hydrodesulfurization,Petrochemical,92.0,280.0,74.6,0.1862,119.5,13.2,1.2
Hydrodesulfurization,Petrochemical,92.0,280.0,77.6,0.1664,119.6,9.3,1.27
Hydrodesulfurization,Petrochemical,92.0,280.0,76.6,0.181,125.5,15.9,1.35
Hydrodesulfurization,Petrochemical,92.0,280.0,76.9,0.1673,121.7,14.6,1.42
Hydrodesulfurization,Petrochemical,92.0,280.0,80.7,0.1691,124.7,16.2,1.5
Hydrodesulfurization,Petrochemical,92.0,280.0,76.1,0.1677,121.2,13.0,1.58
Hydrodesulfurization,Petrochemical,92.0,280.0,76.4,0.1687,124.7,14.1,1.65
Hydrodesulfurization,Petrochemical,92.0,280.0,77.8,0.1746,118.9,12.2,1.72
Hydrodesulfurization,Petrochemical,92.0,280.0,76.5,0.1724,121.2,13.4,1.8
Hydrodesulfurization,Petrochemical,92.0,244.5,76.2,0.1729,124.5,11.9,1.88
Hydrodesulfurization,Petrochemical,92.0,197.7,76.5,0.1639,121.1,13.1,1.95
Hydrodesulfurization,Petrochemical,92.0,150.8,77.5,0.1782,119.7,12.3,2.03
Hydrodesulfurization,Petrochemical,92.0,110.0,78.7,0.1712,122.8,12.8,2.1
Hydrodesulfurization,Petrochemical,92.0,67.4,78.6,0.1763,123.2,15.7,2.17
Hydrodesulfurization,Petrochemical,92.0,25.9,79.3,0.1781,119.2,15.4,2.25
Hydrodesulfurization,Petrochemical,92.0,0.0,78.1,0.1808,124.8,11.0,2.33
Hydrodesulfurization,Petrochemical,92.0,0.0,76.8,0.169,123.0,13.2,2.4
Hydrodesulfurization,Petrochemical,92.0,0.0,79.6,0.1726,123.5,14.7,2.47
Hydrodesulfurization,Petrochemical,92.0,0.0,76.7,0.1824,123.3,14.8,2.55
Hydrodesulfurization,Petrochemical,92.0,0.0,78.3,0.1695,122.8,15.6,2.62
Hydrodesulfurization,Petrochemical,92.0,0.0,78.8,0.176,124.5,10.9,2.7
Hydrodesulfurization,Petrochemical,92.0,0.0,78.5,0.1781,121.7,14.7,2.78
Hydrodesulfurization,Petrochemical,92.0,0.0,78.9,0.1779,124.6,16.9,2.85
Hydrodesulfurization,Petrochemical,92.0,0.0,79.4,0.1768,122.7,14.4,2.92
Hydrodesulfurization,Petrochemical,92.0,0.0,80.0,0.1763,127.5,15.1,3.0
Hydrodesulfurization,Petrochemical,92.0,0.0,79.3,0.1765,124.3,18.3,3.07
Hydrodesulfurization,Petrochemical,92.0,0.0,80.3,0.1751,120.3,16.0,3.15
Hydrodesulfurization,Petrochemical,92.0,0.0,80.0,0.1763,123.6,17.0,3.22
Hydrodesulfurization,Petrochemical,92.0,0.0,78.2,0.177,120.6,17.4,3.3
Hydrodesulfurization,Petrochemical,92.0,0.0,79.7,0.1689,117.1,13.4,3.38
Hydrodesulfurization,Petrochemical,92.0,0.0,74.8,0.18,121.9,19.6,3.45
Hydrodesulfurization,Petrochemical,92.0,0.0,79.0,0.1825,121.9,12.7,3.53
Hydrodesulfurization,Petrochemical,92.0,0.0,80.8,0.1779,122.4,15.5,3.6
Hydrodesulfurization,Petrochemical,92.0,0.0,81.4,0.1754,123.0,18.5,3.68
Hydrodesulfurization,Petrochemical,92.0,0.0,77.3,0.1838,123.5,21.8,3.75
Hydrodesulfurization,Petrochemical,92.0,0.0,79.5,0.1682,123.9,16.5,3.82
Hydrodesulfurization,Petrochemical,92.0,0.0,78.2,0.1781,121.7,16.4,3.9
Hydrodesulfurization,Petrochemical,92.0,0.0,77.9,0.1776,127.4,16.4,3.97
Hydrodesulfurization,Petrochemical,92.0,0.0,76.8,0.1803,126.6,17.2,4.05
Hydrodesulfurization,Petrochemical,92.0,0.0,77.8,0.1739,122.3,21.5,4.12
Hydrodesulfurization,Petrochemical,92.0,0.0,77.8,0.1712,118.6,14.0,4.2
Hydrodesulfurization,Petrochemical,92.0,0.0,77.8,0.1719,116.9,17.7,4.28
Hydrodesulfurization,Petrochemical,92.0,0.0,79.8,0.1699,123.1,20.5,4.35
Hydrodesulfurization,Petrochemical,92.0,28.9,77.7,0.1762,121.2,20.5,4.43
Hydrodesulfurization,Petrochemical,92.0,67.5,77.0,0.182,118.2,19.1,4.5
Hydrodesulfurization,Petrochemical,92.0,112.5,76.2,0.1753,118.3,18.5,4.57
Hydrodesulfurization,Petrochemical,92.0,156.0,76.8,0.1652,122.9,19.3,4.65
Hydrodesulfurization,Petrochemical,92.0,203.7,77.8,0.1696,122.3,18.5,4.72
Hydrodesulfurization,Petrochemical,92.0,251.3,78.9,0.1741,122.0,22.2,4.8
Hydrodesulfurization,Petrochemical,92.0,280.0,78.0,0.1678,122.6,23.8,4.88
Hydrodesulfurization,Petrochemical,92.0,280.0,75.4,0.1776,120.2,21.5,4.95
Hydrodesulfurization,Petrochemical,92.0,280.0,76.4,0.1703,122.1,19.0,5.03
Hydrodesulfurization,Petrochemical,92.0,280.0,74.5,0.1673,121.3,26.7,5.1
Hydrodesulfurization,Petrochemical,92.0,280.0,77.1,0.1712,123.6,26.2,5.18
Hydrodesulfurization,Petrochemical,92.0,280.0,73.0,0.1677,123.5,25.1,5.25
Hydrodesulfurization,Petrochemical,92.0,280.0,77.4,0.1785,118.9,27.6,5.32
Hydrodesulfurization,Petrochemical,92.0,280.0,76.8,0.1607,122.6,25.1,5.4
Hydrodesulfurization,Petrochemical,92.0,280.0,74.8,0.1711,120.7,27.3,5.47
Hydrodesulfurization,Petrochemical,92.0,280.0,75.2,0.1629,116.7,26.1,5.55
Hydrodesulfurization,Petrochemical,92.0,280.0,74.3,0.1693,120.4,23.1,5.62
Hydrodesulfurization,Petrochemical,92.0,280.0,75.8,0.158,119.7,29.6,5.7
Hydrodesulfurization,Petrochemical,92.0,280.0,72.6,0.1607,117.9,29.0,5.78
Hydrodesulfurization,Petrochemical,92.0,280.0,74.8,0.1776,119.6,27.5,5.85
Hydrodesulfurization,Petrochemical,92.0,280.0,75.7,0.1613,112.6,30.7,5.93
Hydrodesulfurization,Petrochemical,92.0,280.0,75.7,0.1652,120.8,27.1,6.0
Hydrodesulfurization,Petrochemical,92.0,280.0,72.8,0.1701,118.2,31.5,6.07
Hydrodesulfurization,Petrochemical,92.0,280.0,75.2,0.1655,116.1,29.7,6.15
Hydrodesulfurization,Petrochemical,92.0,280.0,72.1,0.1647,114.3,27.1,6.23
Hydrodesulfurization,Petrochemical,92.0,280.0,73.2,0.1622,118.3,37.0,6.3
Hydrodesulfurization,Petrochemical,92.0,280.0,74.1,0.1651,114.9,32.3,6.38
Hydrodesulfurization,Petrochemical,86.2,280.0,72.3,0.1646,122.7,31.0,6.45
Hydrodesulfurization,Petrochemical,79.9,280.0,71.3,0.1487,118.8,30.1,6.52
Hydrodesulfurization,Petrochemical,72.1,280.0,69.4,0.1471,116.8,31.5,6.6
Hydrodesulfurization,Petrochemical,66.8,280.0,73.8,0.1548,115.6,28.0,6.68
Hydrodesulfurization,Petrochemical,58.5,280.0,68.7,0.1522,119.6,28.8,6.75
Hydrodesulfurization,Petrochemical,53.5,280.0,71.2,0.1546,120.7,32.6,6.82
Hydrodesulfurization,Petrochemical,47.9,280.0,72.3,0.1613,117.5,29.9,6.9
Hydrodesulfurization,Petrochemical,43.0,280.0,71.3,0.1532,117.5,32.3,6.98
Hydrodesulfurization,Petrochemical,34.3,280.0,68.6,0.1539,119.9,29.4,7.05
Hydrodesulfurization,Petrochemical,28.9,280.0,71.9,0.1459,117.4,32.4,7.12
Hydrodesulfurization,Petrochemical,24.1,280.0,70.4,0.1464,118.0,31.8,7.2
Hydrodesulfurization,Petrochemical,20.5,280.0,71.9,0.1458,116.2,31.7,7.27
Hydrodesulfurization,Petrochemical,18.0,280.0,69.7,0.1523,114.9,31.0,7.35
Hydrodesulfurization,Petrochemical,18.0,280.0,71.6,0.1465,116.3,32.6,7.43
Hydrodesulfurization,Petrochemical,18.0,280.0,69.9,0.1463,118.5,30.0,7.5
Hydrodesulfurization,Petrochemical,18.0,280.0,70.1,0.1441,115.0,33.0,7.57
Hydrodesulfurization,Petrochemical,18.0,280.0,69.7,0.1486,117.4,29.2,7.65
Hydrodesulfurization,Petrochemical,18.0,280.0,67.1,0.152,118.7,32.3,7.73
Hydrodesulfurization,Petrochemical,18.0,265.3,69.0,0.1488,116.7,30.7,7.8
Hydrodesulfurization,Petrochemical,18.0,219.9,69.9,0.1563,119.5,30.6,7.88
Hydrodesulfurization,Petrochemical,18.0,181.2,66.7,0.1485,113.5,31.6,7.95
Hydrodesulfurization,Petrochemical,18.0,129.5,70.0,0.152,115.9,31.1,8.02
Hydrodesulfurization,Petrochemical,18.0,87.6,69.8,0.1501,115.2,29.8,8.1
Hydrodesulfurization,Petrochemical,18.0,43.2,71.7,0.1461,114.0,33.1,8.18
Hydrodesulfurization,Petrochemical,18.0,2.7,67.9,0.1405,115.2,30.2,8.25
Hydrodesulfurization,Petrochemical,18.0,0.0,69.8,0.1505,113.0,33.6,8.32
Hydrodesulfurization,Petrochemical,18.0,0.0,65.5,0.1411,119.2,32.9,8.4
Hydrodesulfurization,Petrochemical,18.0,0.0,68.8,0.1406,113.5,31.4,8.48
Hydrodesulfurization,Petrochemical,18.0,0.0,67.3,0.1452,116.9,28.9,8.55
Hydrodesulfurization,Petrochemical,18.0,0.0,71.8,0.1418,113.9,31.0,8.62
Hydrodesulfurization,Petrochemical,18.0,0.0,69.4,0.1453,112.4,31.4,8.7
Hydrodesulfurization,Petrochemical,18.0,0.0,69.5,0.1478,112.2,33.9,8.77
Hydrodesulfurization,Petrochemical,18.0,0.0,68.2,0.1422,115.7,29.8,8.85
Hydrodesulfurization,Petrochemical,18.0,0.0,68.6,0.1434,114.1,32.8,8.93
Hydrodesulfurization,Petrochemical,18.0,0.0,70.1,0.1567,113.1,29.4,9.0
Hydrodesulfurization,Petrochemical,18.0,0.0,67.7,0.1419,115.6,34.7,9.07
Hydrodesulfurization,Petrochemical,18.0,0.0,69.6,0.1488,113.5,29.0,9.15
Hydrodesulfurization,Petrochemical,18.0,0.0,67.9,0.1497,115.1,30.8,9.23
Hydrodesulfurization,Petrochemical,18.0,0.0,68.2,0.146,114.5,33.3,9.3
Hydrodesulfurization,Petrochemical,18.0,0.0,68.3,0.1417,114.6,36.4,9.38
Hydrodesulfurization,Petrochemical,18.0,0.0,69.3,0.1407,117.2,33.9,9.45
Hydrodesulfurization,Petrochemical,18.0,0.0,69.3,0.1454,114.9,31.8,9.52
Hydrodesulfurization,Petrochemical,18.0,0.0,70.7,0.15,115.2,35.8,9.6
Hydrodesulfurization,Petrochemical,18.0,0.0,71.4,0.1538,118.9,34.0,9.68
Hydrodesulfurization,Petrochemical,18.0,0.0,69.2,0.1495,116.7,34.4,9.75
Hydrodesulfurization,Petrochemical,18.0,0.0,71.0,0.1348,115.9,35.8,9.82
Hydrodesulfurization,Petrochemical,18.0,0.0,67.5,0.1488,118.2,33.0,9.9
Hydrodesulfurization,Petrochemical,18.0,0.0,64.9,0.1429,114.1,31.3,9.98
Hydrodesulfurization,Petrochemical,18.0,0.0,69.8,0.1479,116.1,34.4,10.05
Hydrodesulfurization,Petrochemical,18.0,0.0,69.3,0.1443,111.5,35.2,10.12
Hydrodesulfurization,Petrochemical,18.0,0.0,69.8,0.1557,113.3,34.5,10.2
Hydrodesulfurization,Petrochemical,18.0,0.0,69.0,0.1517,116.3,38.9,10.27
Hydrodesulfurization,Petrochemical,18.0,10.0,67.7,0.1531,116.0,37.4,10.35
Hydrodesulfurization,Petrochemical,18.0,50.0,72.7,0.1514,112.8,35.4,10.43
Hydrodesulfurization,Petrochemical,18.0,95.0,70.5,0.1507,119.5,37.3,10.5
Hydrodesulfurization,Petrochemical,18.0,138.5,70.8,0.1565,118.3,39.1,10.57
Hydrodesulfurization,Petrochemical,20.2,179.6,70.2,0.1527,115.5,39.3,10.65
Hydrodesulfurization,Petrochemical,26.3,226.0,71.9,0.1453,119.7,40.1,10.73
Hydrodesulfurization,Petrochemical,34.5,270.8,69.7,0.1566,115.2,41.7,10.8
Hydrodesulfurization,Petrochemical,38.8,280.0,72.1,0.1569,118.5,40.4,10.88
Hydrodesulfurization,Petrochemical,44.2,280.0,71.0,0.1526,119.4,38.5,10.95
Hydrodesulfurization,Petrochemical,51.1,280.0,70.9,0.1616,117.0,43.7,11.02
Hydrodesulfurization,Petrochemical,58.2,280.0,73.6,0.1542,117.4,43.4,11.1
Hydrodesulfurization,Petrochemical,64.3,280.0,71.1,0.1582,116.5,45.5,11.18
Hydrodesulfurization,Petrochemical,68.1,280.0,68.1,0.1615,116.7,44.2,11.25
Hydrodesulfurization,Petrochemical,74.2,280.0,71.5,0.1476,115.9,45.2,11.32
Hydrodesulfurization,Petrochemical,82.1,280.0,75.4,0.153,119.4,42.4,11.4
Hydrodesulfurization,Petrochemical,89.8,280.0,71.6,0.1452,116.7,45.4,11.48
Hydrodesulfurization,Petrochemical,92.0,280.0,71.5,0.1607,113.9,47.1,11.55
Hydrodesulfurization,Petrochemical,92.0,280.0,72.2,0.1627,117.3,45.2,11.62
Hydrodesulfurization,Petrochemical,92.0,280.0,71.7,0.1598,120.4,48.1,11.7
Hydrodesulfurization,Petrochemical,92.0,280.0,76.8,0.167,118.7,47.1,11.77
Hydrodesulfurization,Petrochemical,92.0,280.0,74.1,0.159,119.1,47.6,11.85
Hydrodesulfurization,Petrochemical,92.0,280.0,73.3,0.165,119.1,48.4,11.93
LPG Storage Unit,Petrochemical,51.3,75.4,70.9,0.0575,84.5,11.7,0.0
LPG Storage Unit,Petrochemical,52.4,77.4,70.3,0.0586,79.0,8.0,0.08
LPG Storage Unit,Petrochemical,53.7,73.3,69.6,0.067,84.1,13.7,0.15
LPG Storage Unit,Petrochemical,55.4,76.8,73.7,0.0564,85.6,12.6,0.22
LPG Storage Unit,Petrochemical,58.4,75.9,71.2,0.0656,82.8,11.2,0.3
LPG Storage Unit,Petrochemical,58.4,74.0,73.9,0.0699,86.4,9.2,0.38
LPG Storage Unit,Petrochemical,59.4,79.7,70.5,0.0666,84.6,11.1,0.45
LPG Storage Unit,Petrochemical,59.0,75.8,71.6,0.0655,86.8,9.9,0.52
LPG Storage Unit,Petrochemical,63.6,70.4,73.1,0.0599,86.3,11.3,0.6
LPG Storage Unit,Petrochemical,64.6,76.4,74.8,0.0524,83.5,11.1,0.68
LPG Storage Unit,Petrochemical,66.2,78.2,72.0,0.0544,81.3,9.6,0.75
LPG Storage Unit,Petrochemical,65.5,68.5,72.9,0.0676,81.5,12.0,0.83
LPG Storage Unit,Petrochemical,67.9,69.0,73.9,0.0598,83.8,13.7,0.9
LPG Storage Unit,Petrochemical,69.8,71.7,74.2,0.0656,80.9,9.7,0.98
LPG Storage Unit,Petrochemical,69.1,64.2,71.4,0.0634,84.3,12.2,1.05
LPG Storage Unit,Petrochemical,71.6,64.6,73.5,0.0621,83.5,12.7,1.12
LPG Storage Unit,Petrochemical,73.4,60.3,74.4,0.0557,81.3,11.4,1.2
LPG Storage Unit,Petrochemical,75.7,57.6,75.0,0.0686,83.4,9.8,1.27
LPG Storage Unit,Petrochemical,76.3,57.8,71.3,0.0626,82.2,9.7,1.35
LPG Storage Unit,Petrochemical,75.9,50.6,75.4,0.0633,83.9,12.3,1.42
LPG Storage Unit,Petrochemical,76.6,52.0,75.7,0.0623,84.3,9.6,1.5
LPG Storage Unit,Petrochemical,79.1,43.1,76.4,0.0693,85.9,12.3,1.58
LPG Storage Unit,Petrochemical,78.3,36.2,75.3,0.0662,85.7,9.9,1.65
LPG Storage Unit,Petrochemical,78.9,35.5,74.1,0.0601,82.3,11.4,1.72
LPG Storage Unit,Petrochemical,81.6,31.1,76.7,0.0716,84.3,10.3,1.8
LPG Storage Unit,Petrochemical,81.3,29.3,75.5,0.0708,83.4,13.1,1.88
LPG Storage Unit,Petrochemical,81.6,26.8,76.5,0.0783,84.6,11.6,1.95
LPG Storage Unit,Petrochemical,84.4,21.4,74.8,0.0714,81.1,8.2,2.03
LPG Storage Unit,Petrochemical,83.8,19.6,77.3,0.0674,80.2,11.4,2.1
LPG Storage Unit,Petrochemical,84.5,16.9,78.0,0.0673,86.2,12.5,2.17
LPG Storage Unit,Petrochemical,87.2,11.9,77.3,0.0754,81.0,11.1,2.25
LPG Storage Unit,Petrochemical,84.6,10.9,77.3,0.0594,86.5,10.2,2.33
LPG Storage Unit,Petrochemical,85.1,10.3,74.8,0.0663,87.8,5.0,2.4
LPG Storage Unit,Petrochemical,85.4,0.4,78.1,0.0699,85.0,10.5,2.47
LPG Storage Unit,Petrochemical,86.8,3.7,78.0,0.0647,80.9,7.1,2.55
LPG Storage Unit,Petrochemical,86.8,1.5,76.6,0.0628,83.2,7.1,2.62
LPG Storage Unit,Petrochemical,87.5,0.0,76.6,0.0587,86.8,6.5,2.7
LPG Storage Unit,Petrochemical,88.7,0.0,79.5,0.0612,81.5,7.3,2.78
LPG Storage Unit,Petrochemical,89.4,0.0,76.1,0.0658,84.9,9.0,2.85
LPG Storage Unit,Petrochemical,88.5,0.0,75.0,0.0647,87.0,10.5,2.92
LPG Storage Unit,Petrochemical,86.9,0.0,77.9,0.0748,82.2,9.2,3.0
LPG Storage Unit,Petrochemical,88.6,0.0,75.1,0.0707,84.2,6.6,3.07
LPG Storage Unit,Petrochemical,86.7,0.0,73.4,0.0705,83.8,8.0,3.15
LPG Storage Unit,Petrochemical,89.4,0.0,76.0,0.0647,83.2,9.7,3.22
LPG Storage Unit,Petrochemical,88.3,0.0,74.5,0.074,86.9,8.1,3.3
LPG Storage Unit,Petrochemical,88.5,0.0,76.6,0.0631,86.4,8.5,3.38
LPG Storage Unit,Petrochemical,84.2,0.0,76.9,0.0642,85.6,7.3,3.45
LPG Storage Unit,Petrochemical,88.0,0.0,77.3,0.0595,86.3,11.3,3.53
LPG Storage Unit,Petrochemical,84.7,0.0,76.2,0.0736,83.2,7.9,3.6
LPG Storage Unit,Petrochemical,85.4,0.0,74.3,0.0611,85.6,8.0,3.68
LPG Storage Unit,Petrochemical,83.8,0.0,77.7,0.0611,83.7,8.5,3.75
LPG Storage Unit,Petrochemical,83.5,0.0,77.8,0.0663,81.3,6.7,3.82
LPG Storage Unit,Petrochemical,83.5,0.0,79.5,0.0552,84.0,8.2,3.9
LPG Storage Unit,Petrochemical,83.7,0.0,75.4,0.0615,84.3,9.6,3.97
LPG Storage Unit,Petrochemical,81.1,2.0,75.4,0.0542,84.8,9.4,4.05
LPG Storage Unit,Petrochemical,82.3,0.6,76.0,0.0693,84.2,11.5,4.12
LPG Storage Unit,Petrochemical,79.6,3.6,75.4,0.0653,81.1,11.7,4.2
LPG Storage Unit,Petrochemical,79.5,7.2,74.6,0.0617,85.0,11.8,4.28
LPG Storage Unit,Petrochemical,79.4,16.2,73.8,0.0664,82.7,13.6,4.35
LPG Storage Unit,Petrochemical,77.9,9.6,77.0,0.0679,83.9,12.5,4.43
LPG Storage Unit,Petrochemical,77.4,18.1,74.5,0.0647,83.5,12.1,4.5
LPG Storage Unit,Petrochemical,76.0,21.1,73.9,0.0516,80.3,8.4,4.57
LPG Storage Unit,Petrochemical,73.0,23.8,75.0,0.0726,84.5,12.7,4.65
LPG Storage Unit,Petrochemical,72.8,29.9,73.7,0.0779,85.1,11.1,4.72
LPG Storage Unit,Petrochemical,69.2,30.5,75.2,0.0663,86.2,13.6,4.8
LPG Storage Unit,Petrochemical,69.5,36.7,73.6,0.0636,83.2,11.4,4.88
LPG Storage Unit,Petrochemical,69.5,37.6,73.5,0.0513,87.6,15.2,4.95
LPG Storage Unit,Petrochemical,66.3,39.8,72.7,0.0654,81.8,12.8,5.03
LPG Storage Unit,Petrochemical,66.3,48.1,71.1,0.0666,84.7,15.0,5.1
LPG Storage Unit,Petrochemical,63.8,49.1,72.7,0.0602,84.3,12.4,5.18
LPG Storage Unit,Petrochemical,66.3,53.3,73.1,0.0572,84.4,16.0,5.25
LPG Storage Unit,Petrochemical,63.5,55.7,72.8,0.0627,85.2,15.6,5.32
LPG Storage Unit,Petrochemical,63.0,57.4,73.8,0.0651,82.0,12.3,5.4
LPG Storage Unit,Petrochemical,61.0,60.7,74.4,0.0567,88.9,17.5,5.47
LPG Storage Unit,Petrochemical,59.3,61.5,72.3,0.0568,84.9,17.2,5.55
LPG Storage Unit,Petrochemical,57.6,65.1,71.9,0.0596,84.1,15.1,5.62
LPG Storage Unit,Petrochemical,56.6,69.4,74.7,0.0629,82.2,13.0,5.7
LPG Storage Unit,Petrochemical,55.9,67.3,74.1,0.0503,86.2,19.5,5.78
LPG Storage Unit,Petrochemical,55.0,78.1,70.3,0.0551,83.4,14.8,5.85
LPG Storage Unit,Petrochemical,49.9,77.3,73.0,0.0677,82.1,17.0,5.93
LPG Storage Unit,Petrochemical,50.2,75.0,71.8,0.0635,86.8,20.4,6.0
LPG Storage Unit,Petrochemical,48.5,76.4,73.1,0.0581,84.7,16.9,6.07
LPG Storage Unit,Petrochemical,47.4,77.9,72.7,0.0587,83.4,17.8,6.15
LPG Storage Unit,Petrochemical,46.8,78.8,71.7,0.0619,87.3,18.0,6.23
LPG Storage Unit,Petrochemical,44.1,78.1,69.9,0.0495,82.8,19.6,6.3
LPG Storage Unit,Petrochemical,43.0,84.2,68.1,0.0626,81.7,19.0,6.38
LPG Storage Unit,Petrochemical,40.9,74.1,68.1,0.0472,81.8,16.3,6.45
LPG Storage Unit,Petrochemical,38.9,71.9,68.5,0.0582,82.7,22.8,6.52
LPG Storage Unit,Petrochemical,37.9,76.7,69.4,0.0628,83.2,19.2,6.6
LPG Storage Unit,Petrochemical,37.2,70.7,65.6,0.0509,82.2,16.1,6.68
LPG Storage Unit,Petrochemical,33.7,74.9,70.1,0.0568,84.0,18.3,6.75
LPG Storage Unit,Petrochemical,34.2,69.4,68.7,0.0545,80.5,18.8,6.82
LPG Storage Unit,Petrochemical,31.4,68.3,68.7,0.0566,84.6,18.8,6.9
LPG Storage Unit,Petrochemical,30.8,72.3,66.1,0.0657,82.8,21.3,6.98
LPG Storage Unit,Petrochemical,30.7,66.2,68.8,0.0584,85.8,16.5,7.05
LPG Storage Unit,Petrochemical,31.0,60.5,68.3,0.0523,83.6,16.1,7.12
LPG Storage Unit,Petrochemical,25.2,57.3,68.2,0.0564,80.7,19.7,7.2
LPG Storage Unit,Petrochemical,24.9,57.0,70.1,0.0623,83.8,18.0,7.27
LPG Storage Unit,Petrochemical,27.2,47.2,69.4,0.0628,81.2,16.4,7.35
LPG Storage Unit,Petrochemical,22.7,51.0,69.5,0.0571,82.4,20.5,7.43
LPG Storage Unit,Petrochemical,24.0,48.3,68.6,0.0558,81.9,19.4,7.5
LPG Storage Unit,Petrochemical,21.3,42.8,66.9,0.0616,85.3,16.0,7.57
LPG Storage Unit,Petrochemical,19.4,37.2,69.0,0.0562,83.2,15.1,7.65
LPG Storage Unit,Petrochemical,19.5,41.0,66.8,0.0563,82.5,19.9,7.73
LPG Storage Unit,Petrochemical,18.9,37.6,66.7,0.0594,84.5,14.0,7.8
LPG Storage Unit,Petrochemical,18.0,30.6,66.4,0.0555,79.9,19.5,7.88
LPG Storage Unit,Petrochemical,19.0,24.5,68.4,0.048,86.4,18.8,7.95
LPG Storage Unit,Petrochemical,18.0,20.7,66.5,0.0558,83.9,15.1,8.02
LPG Storage Unit,Petrochemical,18.0,20.3,66.0,0.0503,81.3,14.8,8.1
LPG Storage Unit,Petrochemical,18.0,17.7,67.7,0.0567,84.2,14.7,8.18
LPG Storage Unit,Petrochemical,18.0,13.5,65.4,0.0514,83.1,17.3,8.25
LPG Storage Unit,Petrochemical,18.0,7.0,69.8,0.0508,83.4,12.8,8.32
LPG Storage Unit,Petrochemical,18.0,2.6,65.6,0.0552,82.5,14.3,8.4
LPG Storage Unit,Petrochemical,18.0,5.8,64.3,0.047,82.2,17.3,8.48
LPG Storage Unit,Petrochemical,18.0,1.3,65.3,0.056,83.4,16.4,8.55
LPG Storage Unit,Petrochemical,18.0,0.0,65.2,0.059,80.6,18.7,8.62
LPG Storage Unit,Petrochemical,18.0,0.0,65.3,0.0549,82.7,12.2,8.7
LPG Storage Unit,Petrochemical,18.0,0.0,64.9,0.0622,81.2,14.7,8.77
LPG Storage Unit,Petrochemical,18.0,0.0,64.2,0.0466,80.4,11.9,8.85
LPG Storage Unit,Petrochemical,18.0,0.0,62.7,0.0583,81.7,16.6,8.93
LPG Storage Unit,Petrochemical,18.0,0.0,66.7,0.0605,85.6,16.0,9.0
LPG Storage Unit,Petrochemical,18.0,0.0,65.8,0.0523,81.4,16.6,9.07
LPG Storage Unit,Petrochemical,18.0,0.0,67.8,0.0561,83.1,16.0,9.15
LPG Storage Unit,Petrochemical,18.0,0.0,66.7,0.0532,80.8,14.9,9.23
LPG Storage Unit,Petrochemical,18.0,0.0,65.5,0.0513,80.0,17.8,9.3
LPG Storage Unit,Petrochemical,18.0,0.0,66.3,0.0507,81.9,13.7,9.38
LPG Storage Unit,Petrochemical,18.0,0.0,66.1,0.0477,82.0,17.5,9.45
LPG Storage Unit,Petrochemical,18.0,0.0,67.7,0.0473,84.8,17.1,9.52
LPG Storage Unit,Petrochemical,18.0,0.0,64.3,0.0501,84.9,14.8,9.6
LPG Storage Unit,Petrochemical,18.0,0.0,70.1,0.0545,84.7,13.2,9.68
LPG Storage Unit,Petrochemical,18.0,0.0,67.0,0.0562,82.9,14.6,9.75
LPG Storage Unit,Petrochemical,18.0,0.0,66.5,0.0462,83.9,16.5,9.82
LPG Storage Unit,Petrochemical,18.0,0.0,68.9,0.0539,84.6,14.5,9.9
